provider,provider_industry,damodaran_industry
fmp,Advertising Agencies,Advertising
fmp,Aerospace & Defense,Aerospace/Defense
fmp,Agricultural Inputs,Farming/Agriculture
fmp,Airlines,Air Transport
fmp,Airports & Air Services,Air Transport
fmp,Aluminum,Metals & Mining
fmp,Apparel Manufacturing,Apparel
fmp,Apparel Retail,Retail (Special Lines)
fmp,Asset Management,Investments & Asset Management
fmp,Auto & Truck Dealerships,Retail (Automotive)
fmp,Auto Manufacturers,Auto & Truck
fmp,Auto Parts,Auto Parts
fmp,Banks—Diversified,Bank (Money Center)
fmp,Banks—Regional,Banks (Regional)
fmp,Beverages—Brewers,Beverage (Alcoholic)
fmp,Beverages—Non-Alcoholic,Beverage (Soft)
fmp,Beverages—Wineries & Distilleries,Beverage (Alcoholic)
fmp,Biotechnology,Drugs (Biotechnology)
fmp,Broadcasting,Broadcasting
fmp,Building Materials,Building Materials
fmp,Building Products & Equipment,Construction Supplies
fmp,Business Equipment & Supplies,Office Equipment & Services
fmp,Capital Markets,Brokerage & Investment Banking
fmp,Chemicals,Chemical (Basic)
fmp,Coking Coal,Coal & Related Energy
fmp,Communication Equipment,Telecom. Equipment
fmp,Computer Hardware,Computers/Peripherals
fmp,Confectioners,Food Processing
fmp,Conglomerates,Diversified
fmp,Consulting Services,Business & Consumer Services
fmp,Consumer Electronics,Electronics (Consumer & Office)
fmp,Copper,Metals & Mining
fmp,Credit Services,Financial Svcs. (Non-bank & Insurance)
fmp,Department Stores,Retail (General)
fmp,Diagnostics & Research,Healthcare Products
fmp,Discount Stores,Retail (General)
fmp,Drug Manufacturers—General,Drugs (Pharmaceutical)
fmp,Drug Manufacturers—Specialty & Generic,Drugs (Pharmaceutical)
fmp,Education & Training Services,Education
fmp,Electrical Equipment & Parts,Electrical Equipment
fmp,Electronic Components,Electronics (General)
fmp,Electronic Gaming & Multimedia,Software (Entertainment)
fmp,Electronics & Computer Distribution,Retail (Distributors)
fmp,Engineering & Construction,Engineering/Construction
fmp,Entertainment,Entertainment
fmp,Farm & Heavy Construction Machinery,Machinery
fmp,Farm Products,Farming/Agriculture
